"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","BY","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"12",1665,1,1.46136363636364,7800,1,1,1,1,"X","14",153723443,22314490,22314919,153623443,153823443,22214490,22414919
"15",1886,1,1.46432949252268,5921,1,1,1,1,"2","4",241040817,139794125,139794433,240940817,241140817,139694125,139894433
"16",1890,1,2.48731679819617,6452,1,1,1,1,"16","11",2255538,43378882,43385671,2155538,2355538,43278882,43485671
"26",2296,1,1.95942290351668,4455,1,1,1,1,"10","14",91450968,65234515,65235101,91350968,91550968,65134515,65335101
"28",2357,1,1.96256381168463,8237,1,1,1,1,"17","2",19599064,136390332,136390669,19499064,19699064,136290332,136490669
"32",2562,1,4.11545164101075,3114,1,1,1,1,"16","22",58730951,44243665,44312951,58630951,58830951,44143665,44412951
"35",2764,1,2.57255574614065,7085,1,1,1,1,"20","11",37440356,112787304,112795854,37340356,37540356,112687304,112895854
"36",2771,1,1.74805282763292,7047,1,1,1,1,"5","1",139657611,52940314,52940413,139557611,139757611,52840314,53040413
"1",366,NA,NA,NA,NA,NA,NA,NA,"21","21",5097921,44133610,44210114,4997921,5197921,44033610,44310114
"7",1415,NA,NA,NA,NA,NA,NA,NA,"16","8",976171,105142860,105188606,876171,1076171,105042860,105288606
"8",1458,NA,NA,NA,NA,NA,NA,NA,"11","17",104891857,30624413,30625494,104791857,104991857,30524413,30725494
"9",1537,NA,NA,NA,NA,NA,NA,NA,"2","X",11155245,5169512,5170645,11055245,11255245,5069512,5270645
"14",1853,NA,NA,NA,NA,NA,NA,NA,"1","6",235107572,81764024,81764156,235007572,235207572,81664024,81864156
"18",1941,NA,NA,NA,NA,NA,NA,NA,"13","7",30415655,143026158,143027195,30315655,30515655,142926158,143127195
"20",2079,NA,NA,NA,NA,NA,NA,NA,"16","9",68644843,122519141,122520082,68544843,68744843,122419141,122620082
"24",2197,NA,NA,NA,NA,NA,NA,NA,"19","3",6963203,89107621,89482134,6863203,7063203,89007621,89582134
"29",2422,NA,NA,NA,NA,NA,NA,NA,"13","8",110165755,10474565,10482388,110065755,110265755,10374565,10582388
"30",2518,NA,NA,NA,NA,NA,NA,NA,"1","1",146228066,148531385,148679742,146128066,146328066,148431385,148779742
"31",2555,NA,NA,NA,NA,NA,NA,NA,"1","3",177497125,57512450,57512555,177397125,177597125,57412450,57612555
"34",2734,NA,NA,NA,NA,NA,NA,NA,"6","17",137531895,18340814,18340886,137431895,137631895,18240814,18440886
"37",2834,NA,NA,NA,NA,NA,NA,NA,"19","18",17790057,49815,73545,17690057,17890057,-50185,173545
"38",2872,NA,NA,NA,NA,NA,NA,NA,"1","11",41391586,90017611,90024511,41291586,41491586,89917611,90124511
